,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Triệu đồng
5078,Quận Hai Bà Trưng,Phường Lê Đại Hành,"Nhà ngõ, hẻm",Đã có sổ,4,3,25.0,7.5,3.3,5100.0
5079,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,3,30.0,11.0,3.0,2400.0
5080,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,8.0,3.8,2500.16
5081,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,4,43.0,10.0,4.3,3799.9100000000003
5082,Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,4,55.0,11.0,5.0,5100.150000000001
5083,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,5,6,60.0,14.0,4.0,5800.2
5084,Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,3700.0
5085,Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3,55.0,8.0,7.0,6100.05
5086,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3,45.0,11.0,4.0,3979.7999999999997
5087,Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,3,5,60.0,15.0,4.0,13500.0
5088,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.0,4.0,2679.9
5089,Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,38.0,9.0,4.0,3950.1
5090,Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,4,70.0,12.0,6.0,5000.1
5091,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,11.0,3.0,2699.9
5092,Huyện Thanh Trì,Xã Hữu Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,33.0,10.0,3.0,1849.98
5093,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,3,20.0,5.0,3.0,2050.0
5094,Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,5,3,26.0,8.0,3.0,2499.9
5095,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Không rõ,4,3,50.0,10.0,7.0,2480.0
5096,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,30.0,10.0,3.0,2700.0
5097,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.0,3300.04
5098,Quận Hai Bà Trưng,Phường Đống Mác,"Nhà ngõ, hẻm",Đã có sổ,4,2,20.0,6.0,3.0,2250.0
5099,Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,8.0,4.0,3000.0
5100,Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,20.0,3.0,3.0,1290.0
5101,Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,4,44.0,11.0,4.0,2250.16
5102,Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,2,3,50.0,12.0,4.0,3950.0
5103,Huyện Thanh Trì,Xã Tứ Hiệp,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,39.0,12.0,4.0,2400.06
5104,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,50.0,10.0,5.0,5600.0
5105,Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,45.0,11.0,4.0,3799.7999999999997
5106,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,48.0,12.0,4.0,3500.16
5107,Quận Long Biên,Phường Đức Giang,"Nhà ngõ, hẻm",Đã có sổ,4,1,30.0,10.0,3.0,1550.1000000000001
5108,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,30.0,8.0,4.0,3099.9
5109,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,12.0,4.0,7200.0
5110,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,45.0,10.0,4.5,6200.1
5111,Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,4,4,55.0,14.0,4.0,8500.25
5112,Quận Ba Đình,Phường Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,3,4,43.0,9.0,4.0,2899.92
5113,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.0,1450.05
5114,Huyện Gia Lâm,Thị trấn Trâu Quỳ,Nhà biệt thự,Giấy tờ khác,3,6,150.0,15.0,10.0,11899.5
5115,Quận Tây Hồ,Phường Nhật Tân,Nhà phố liền kề,Đã có sổ,5,8,50.0,10.0,5.0,9600.0
5116,Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.7,3.5,2400.08
5117,Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,3,3,35.0,10.0,3.5,1800.05
5118,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,10.0,3.7,2300.1
5119,Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Giấy tờ khác,1,2,70.0,15.0,5.0,2100.0
5120,Quận Long Biên,Phường Đức Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,78.0,15.6,5.0,6999.719999999999
5121,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,4100.0
5122,Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.0,3.0,3300.0
5123,Quận Hai Bà Trưng,Phường Đồng Tâm,Nhà biệt thự,Đã có sổ,5,5,60.0,12.0,5.0,7800.0
5124,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.0,5.0,2550.0
5125,Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,38.0,9.0,4.0,1200.04
5126,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,4,55.0,10.0,5.0,9000.199999999999
5127,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,4,33.0,11.0,3.0,2500.0800000000004
5128,Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,7.0,5.0,1599.8500000000001
5129,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,8.0,5.0,2699.9
5130,Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,3,3,40.0,12.0,3.0,3200.0
5131,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,8.5,3.5,3050.1
5132,Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,7.0,4.0,2300.1
5133,Quận Tây Hồ,Phường Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,5,66.0,15.0,4.0,4950.0
5134,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,5,33.0,33.0,33.0,3399.9900000000002
5135,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,4,4,36.0,9.0,4.0,2300.04
5136,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,4,30.0,7.0,4.0,3600.0
5137,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.0,3959.9
5138,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,4700.0
5139,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,2,32.0,8.0,4.0,2300.16
5140,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,35.0,2699.9
5141,Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,1,2,55.0,10.0,5.0,2499.75
5142,Quận Thanh Xuân,Phường Khương Mai,Nhà phố liền kề,Đã có sổ,5,3,35.0,9.0,4.0,5099.85
5143,Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,33.0,6.0,6.0,3499.98
5144,Quận Hai Bà Trưng,Phường Đồng Nhân,"Nhà ngõ, hẻm",Đã có sổ,3,4,66.0,16.0,4.0,6000.0599999999995
5145,Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,6,5,45.0,9.0,5.0,4199.85
5146,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.5,2600.15
5147,Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,10.0,3.0,2199.9
5148,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,10.0,3.2,2649.92
5149,Quận Hai Bà Trưng,Phường Phố Huế,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,45.0,10.0,6.0,7.02
5150,Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,4,3,27.0,6.8,4.1,180.09
5151,Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.0,35.0,2700.0
5152,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4,32.0,10.0,3.0,2900.16
5153,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,4,55.0,14.0,4.0,4349.95
5154,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,3,4,70.0,34.0,6.0,7000.0
5155,Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,31.0,8.0,4.0,4650.0
5156,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5,4,44.0,10.0,4.0,4349.84
5157,Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,42.0,10.0,4.0,2599.7999999999997
5158,Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,6,3,35.0,10.0,3.0,4700.15
5159,Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,50.0,15.0,3.0,2450.0
5160,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,3,3,33.0,7.0,5.0,1849.98
5161,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,11.0,3.0,2600.07
5162,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,23.0,7.0,4.0,2349.91
5163,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.0,2600.15
5164,Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,4,3,22.0,4.0,5.0,1589.9399999999998
5165,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,11.0,3.0,2630.1
5166,Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,4,5,40.0,8.0,4.0,4000.0
5167,Quận Long Biên,Phường Ngọc Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,62.0,14.0,4.0,5999.74
5168,Quận Tây Hồ,Phường Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,5,4,50.0,11.0,4.5,6500.0
5169,Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,50.0,12.0,4.0,5300.0
5170,Quận Hà Đông,Phường Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,80.0,20.0,3.0,3480.0
5171,Quận Ba Đình,Phường Ngọc Hà,"Nhà mặt phố, mặt tiền",Đã có sổ,6,8,60.0,12.0,4.0,10999.800000000001
5172,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,2800.0
5173,Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2,30.0,8.0,3.0,3380.1
5174,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,5,40.0,9.0,5.0,4000.0
5175,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Không rõ,5,2,39.0,8.0,5.0,2699.9700000000003
5176,Huyện Chương Mỹ,Thị trấn Chúc Sơn,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,141.0,23.0,7.0,6099.66
5177,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,6,43.0,10.0,3.0,3700.15
5178,Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,60.0,10.0,5.0,12499.800000000001
5179,Quận Long Biên,Phường Cự Khối,"Nhà mặt phố, mặt tiền",Đã có sổ,3,2,30.0,8.2,3.68,2349.9
5180,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,28.0,8.0,3.0,2299.92
5181,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,6,45.0,12.0,4.0,4000.05
5182,Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,5,5,37.0,9.0,4.0,5400.15
5183,Quận Ba Đình,Phường Thành Công,"Nhà ngõ, hẻm",Đã có sổ,3,4,65.0,10.0,6.0,3849.95
5184,Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,38.0,10.0,4.0,3399.86
5185,Quận Cầu Giấy,Phường Trung Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,46.0,10.0,4.5,7199.92
5186,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.0,3.0,2789.85
5187,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,55.0,12.0,4.0,5500.0
5188,Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,3,1,30.0,10.0,3.0,1350.0
5189,Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,10.0,3.1,2499.9
5190,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,3,2,26.0,8.0,3.3,1600.04
5191,Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,47.0,12.0,4.0,4000.17
5192,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,3,2,33.0,8.0,4.0,1849.98
5193,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,54.0,16.0,4.0,3649.86
5194,Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,10.0,3.0,1450.05
5195,Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,65.0,13.0,5.0,7499.7
5196,Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,3,38.0,9.0,4.0,3500.18
5197,Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,1,2,55.0,10.0,5.0,2400.2
5198,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,45.0,10.0,4.5,3500.1
5199,Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,8.0,3.0,2700.0
5200,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,3,53.0,12.0,4.0,5700.15
5201,Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,56.0,12.0,4.0,6199.759999999999
5202,Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,38.0,11.0,3.0,3399.86
5203,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,3,30.0,8.0,4.0,3600.0
5204,Quận Tây Hồ,Phường Tứ Liên,"Nhà ngõ, hẻm",Không rõ,4,5,68.0,12.0,5.0,4800.12
5205,Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Không rõ,4,4,40.0,10.0,3.0,3200.0
5206,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,38.0,11.0,3.0,4800.16
5207,Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.0,4.0,2449.7999999999997
5208,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.0,3.0,6599.95
5209,Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,35.0,10.0,3.0,4600.05
5210,Quận Nam Từ Liêm,Phường Cầu Diễn,"Nhà ngõ, hẻm",Đã có sổ,3,4,90.0,7.0,4.0,5000.400000000001
5211,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3,40.0,10.0,4.0,3000.0
5212,Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.0,35.0,4000.0
5213,Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,10.0,3.0,3399.84
5214,Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,40.0,10.0,4.0,3050.0
5215,Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,12.0,5.0,4099.8
5216,Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,10.5,3.15,2100.12
5217,Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,45.0,15.0,3.0,2299.95
5218,Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,9.0,3.0,2599.9700000000003
5219,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,20.0,5.0,4.0,1900.0
5220,Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,3,5,56.0,7.0,8.0,8500.24
5221,Quận Hoàn Kiếm,Phường Hàng Bài,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,43.0,10.5,4.2,13999.939999999999
5222,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,8.0,3.0,2900.1
5223,Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,10.0,3.3,4099.9
5224,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,10.0,4.0,3550.0
5225,Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,6,45.0,11.0,4.0,2600.1
5226,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,4,37.0,11.0,3.0,2200.02
5227,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,3,4,51.0,10.2,5.0,3300.2099999999996
5228,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,8.0,4.7,2899.86
5229,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,1,1,47.0,6.7,7.0,3100.12
5230,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,28.0,7.0,4.0,2399.8799999999997
5231,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,8.0,4.0,2200.11
5232,Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.0,2749.95
5233,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,3,2,63.0,13.0,5.0,3299.94
5234,Quận Hoàn Kiếm,Phường Hàng Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,68.0,17.0,4.0,16500.2
5235,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,2,32.0,12.0,6.0,2200.0
5236,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,7,67.0,13.0,5.0,3299.75
5237,Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,3700.0
5238,Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,4,32.0,9.0,3.0,2600.0
5239,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.0,2599.98
5240,Quận Hai Bà Trưng,Phường Vĩnh Tuy,Nhà phố liền kề,Đang chờ sổ,5,4,40.0,10.0,4.0,4000.0
5241,Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,3,48.0,14.0,4.0,5499.84
5242,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,18.0,5.0,4.0,1900.08
5243,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,50.0,14.3,3.5,42.0
5244,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,6,36.0,12.0,3.0,3399.84
5245,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,6,55.0,13.75,4.0,5299.8
5246,Quận Tây Hồ,Phường Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,48.0,10.0,5.0,9999.84
5247,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,3,31.0,6.0,5.0,3299.9500000000003
5248,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,7,60.0,16.0,3.0,2457.0
5249,Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,3,36.0,9.0,4.0,3099.96
5250,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,35.0,10.0,3.0,3749.9
5251,Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,11.0,4.0,5499.9
5252,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,8.0,4.0,2589.9
5253,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Không rõ,5,3,40.0,10.0,4.0,3750.0
5254,Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,7,5,18.0,4.0,5.0,2250.0
5255,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,7.5,4.0,2750.1
5256,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,3.0,3299.92
5257,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,4,4,31.0,10.0,3.0,2799.9199999999996
5258,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,7,5,30.0,7.0,4.0,3849.9000000000005
5259,Quận Đống Đa,Phường Láng Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,33.0,8.0,4.0,4850.01
5260,Quận Hà Đông,Phường Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,50.0,10.0,5.0,6890.000000000001
5261,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,10.0,3.5,2.9050000000000002
5262,Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,4,5,50.0,16.0,3.5,6100.0
5263,Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",Đã có sổ,4,2,35.0,6.0,5.0,2500.05
5264,Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,50.0,10.0,5.0,3500.0
5265,Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,5,46.0,12.0,4.0,3000.12
5266,Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,45.0,9.0,5.0,3299.85
5267,Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,6,6,55.0,14.0,4.0,2900.1499999999996
5268,Quận Hoàng Mai,Phường Định Công,Nhà phố liền kề,Đã có sổ,5,4,40.0,10.0,4.0,2800.0
5269,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,4.0,2199.82
5270,Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,9.0,3.0,1359.8999999999999
5271,Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,2,3,100.0,18.2,5.5,4200.0
5272,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,9.0,4.0,2699.9
5273,Huyện Thanh Oai,Xã Cự Khê,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,10.0,3.0,1550.08
5274,Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,10.0,28.0,3200.1
